<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10437	1.10451	1.10340	1.10347	10037	0	1
2024.01.02	04:00:00	1.10348	1.10358	1.10163	1.10331	17127	0	1
2024.01.02	08:00:00	1.10332	1.10389	1.10108	1.10152	36734	0	0
2024.01.02	12:00:00	1.10150	1.10171	1.09492	1.09528	47781	0	0
2024.01.02	16:00:00	1.09527	1.09684	1.09407	1.09506	68980	0	0
2024.01.02	20:00:00	1.09506	1.09560	1.09374	1.09407	24512	0	1
2024.01.03	00:00:00	1.09425	1.09547	1.09362	1.09513	11519	0	0
2024.01.03	04:00:00	1.09513	1.09629	1.09485	1.09510	11613	0	0
2024.01.03	08:00:00	1.09510	1.09655	1.09349	1.09364	31932	0	0
2024.01.03	12:00:00	1.09363	1.09391	1.09100	1.09216	47487	0	0
2024.01.03	16:00:00	1.09216	1.09390	1.08979	1.09067	78781	0	0
2024.01.03	20:00:00	1.09068	1.09258	1.08925	1.09212	53469	0	1
2024.01.04	00:00:00	1.09205	1.09276	1.09056	1.09177	11053	0	3
2024.01.04	04:00:00	1.09177	1.09308	1.09156	1.09265	13463	0	0
2024.01.04	08:00:00	1.09265	1.09691	1.09205	1.09676	41475	0	0
2024.01.04	12:00:00	1.09677	1.09723	1.09326	1.09471	44873	0	0
2024.01.04	16:00:00	1.09471	1.09654	1.09382	1.09505	60802	0	0
2024.01.04	20:00:00	1.09505	1.09545	1.09428	1.09435	23594	0	1
2024.01.05	00:00:00	1.09443	1.09559	1.09405	1.09516	15605	0	2
2024.01.05	04:00:00	1.09516	1.09541	1.09338	1.09373	11823	0	3
2024.01.05	08:00:00	1.09374	1.09374	1.09027	1.09128	34415	0	0
2024.01.05	12:00:00	1.09128	1.09281	1.08769	1.09215	55707	0	0
2024.01.05	16:00:00	1.09217	1.09988	1.09216	1.09462	111451	0	0
2024.01.05	20:00:00	1.09461	1.09598	1.09352	1.09408	34574	0	0
2024.01.08	00:00:00	1.09331	1.09530	1.09326	1.09479	10363	0	1
2024.01.08	04:00:00	1.09479	1.09479	1.09303	1.09375	12790	0	0
2024.01.08	08:00:00	1.09375	1.09523	1.09225	1.09370	33958	0	0
2024.01.08	12:00:00	1.09374	1.09564	1.09342	1.09508	39588	0	0
2024.01.08	16:00:00	1.09508	1.09789	1.09492	1.09646	59628	0	0
2024.01.08	20:00:00	1.09646	1.09659	1.09487	1.09496	27084	0	0
2024.01.09	00:00:00	1.09525	1.09619	1.09450	1.09614	15694	0	1
2024.01.09	04:00:00	1.09615	1.09664	1.09477	1.09498	14316	0	0
2024.01.09	08:00:00	1.09496	1.09630	1.09380	1.09441	33727	0	0
2024.01.09	12:00:00	1.09442	1.09482	1.09286	1.09462	43367	0	0
2024.01.09	16:00:00	1.09462	1.09514	1.09101	1.09341	64002	0	0
2024.01.09	20:00:00	1.09340	1.09404	1.09198	1.09305	31202	0	1
2024.01.10	00:00:00	1.09305	1.09364	1.09231	1.09321	12589	0	2
2024.01.10	04:00:00	1.09321	1.09360	1.09275	1.09322	12032	0	0
2024.01.10	08:00:00	1.09321	1.09519	1.09228	1.09473	35473	0	0
2024.01.10	12:00:00	1.09472	1.09555	1.09403	1.09404	33061	0	0
2024.01.10	16:00:00	1.09403	1.09692	1.09318	1.09670	53264	0	0
2024.01.10	20:00:00	1.09671	1.09730	1.09592	1.09718	28144	0	0
2024.01.11	00:00:00	1.09716	1.09802	1.09659	1.09787	13186	0	0
2024.01.11	04:00:00	1.09787	1.09849	1.09754	1.09782	13018	0	3
2024.01.11	08:00:00	1.09781	1.09886	1.09589	1.09638	28590	0	0
2024.01.11	12:00:00	1.09637	1.10004	1.09354	1.09400	59120	0	0
2024.01.11	16:00:00	1.09400	1.09736	1.09299	1.09509	110574	0	0
2024.01.11	20:00:00	1.09508	1.09830	1.09497	1.09716	45170	0	1
2024.01.12	00:00:00	1.09620	1.09849	1.09613	1.09826	16233	0	3
2024.01.12	04:00:00	1.09825	1.09854	1.09729	1.09754	13020	0	0
2024.01.12	08:00:00	1.09755	1.09829	1.09609	1.09626	32590	0	0
2024.01.12	12:00:00	1.09625	1.09696	1.09358	1.09552	54963	0	0
2024.01.12	16:00:00	1.09552	1.09871	1.09468	1.09496	74951	0	0
2024.01.12	20:00:00	1.09496	1.09636	1.09474	1.09497	24262	0	1
2024.01.15	00:00:00	1.09472	1.09561	1.09406	1.09546	15138	0	2
2024.01.15	04:00:00	1.09547	1.09675	1.09547	1.09639	13762	0	0
2024.01.15	08:00:00	1.09640	1.09666	1.09430	1.09467	27897	0	0
2024.01.15	12:00:00	1.09467	1.09592	1.09335	1.09506	35959	0	0
2024.01.15	16:00:00	1.09506	1.09526	1.09379	1.09482	30106	0	0
2024.01.15	20:00:00	1.09482	1.09536	1.09461	1.09482	5602	0	0
2024.01.16	00:00:00	1.09468	1.09510	1.09152	1.09275	23975	0	1
2024.01.16	04:00:00	1.09277	1.09277	1.09122	1.09153	17923	0	0
2024.01.16	08:00:00	1.09153	1.09267	1.08839	1.08862	44228	0	0
2024.01.16	12:00:00	1.08862	1.08981	1.08714	1.08742	50880	0	0
2024.01.16	16:00:00	1.08743	1.08946	1.08619	1.08630	87842	0	0
2024.01.16	20:00:00	1.08630	1.08772	1.08627	1.08748	26624	0	0
2024.01.17	00:00:00	1.08743	1.08822	1.08620	1.08773	15121	0	0
2024.01.17	04:00:00	1.08773	1.08846	1.08604	1.08649	18099	0	0
2024.01.17	08:00:00	1.08649	1.08817	1.08553	1.08766	43715	0	0
2024.01.17	12:00:00	1.08765	1.08840	1.08514	1.08637	47912	0	0
2024.01.17	16:00:00	1.08638	1.08711	1.08444	1.08670	68878	0	0
2024.01.17	20:00:00	1.08670	1.08827	1.08562	1.08823	28798	0	1
2024.01.18	00:00:00	1.08814	1.09008	1.08792	1.08960	20898	0	3
2024.01.18	04:00:00	1.08962	1.09027	1.08900	1.08948	16391	0	3
2024.01.18	08:00:00	1.08947	1.09069	1.08767	1.08846	34439	0	0
2024.01.18	12:00:00	1.08845	1.08961	1.08503	1.08524	44550	0	0
2024.01.18	16:00:00	1.08524	1.08702	1.08465	1.08596	70610	0	0
2024.01.18	20:00:00	1.08596	1.08771	1.08540	1.08757	29102	0	0
2024.01.19	00:00:00	1.08760	1.08872	1.08591	1.08855	14569	0	1
2024.01.19	04:00:00	1.08855	1.08895	1.08793	1.08808	12403	0	0
2024.01.19	08:00:00	1.08808	1.08864	1.08680	1.08829	29726	0	0
2024.01.19	12:00:00	1.08829	1.08931	1.08730	1.08803	30966	0	0
2024.01.19	16:00:00	1.08804	1.08935	1.08654	1.08897	60945	0	0
2024.01.19	20:00:00	1.08896	1.08974	1.08855	1.08968	24185	0	1
2024.01.22	00:00:00	1.08898	1.09050	1.08832	1.09018	18166	0	3
2024.01.22	04:00:00	1.09018	1.09093	1.08979	1.09015	13536	0	0
2024.01.22	08:00:00	1.09015	1.09096	1.08871	1.08970	29556	0	0
2024.01.22	12:00:00	1.08970	1.08994	1.08797	1.08917	36801	0	0
2024.01.22	16:00:00	1.08917	1.09000	1.08816	1.08961	43915	0	0
2024.01.22	20:00:00	1.08961	1.08965	1.08801	1.08820	23934	0	0
2024.01.23	00:00:00	1.08816	1.08886	1.08756	1.08883	19935	0	0
2024.01.23	04:00:00	1.08883	1.09080	1.08847	1.09068	22474	0	3
2024.01.23	08:00:00	1.09068	1.09162	1.08836	1.08875	39551	0	0
2024.01.23	12:00:00	1.08875	1.08883	1.08601	1.08742	39574	0	0
2024.01.23	16:00:00	1.08742	1.08742	1.08215	1.08315	61939	0	0
2024.01.23	20:00:00	1.08314	1.08555	1.08302	1.08542	24349	0	1
2024.01.24	00:00:00	1.08547	1.08600	1.08410	1.08579	11697	0	0
2024.01.24	04:00:00	1.08578	1.08662	1.08530	1.08616	13303	0	0
2024.01.24	08:00:00	1.08617	1.09078	1.08602	1.09028	39804	0	0
2024.01.24	12:00:00	1.09027	1.09274	1.08873	1.09249	41818	0	0
2024.01.24	16:00:00	1.09249	1.09325	1.08903	1.09052	73036	0	0
2024.01.24	20:00:00	1.09053	1.09061	1.08769	1.08840	33037	0	0
2024.01.25	00:00:00	1.08840	1.08865	1.08700	1.08775	13146	0	2
2024.01.25	04:00:00	1.08775	1.08820	1.08742	1.08782	12094	0	0
2024.01.25	08:00:00	1.08782	1.08998	1.08753	1.08959	29542	0	0
2024.01.25	12:00:00	1.08959	1.09021	1.08665	1.08790	53357	0	0
2024.01.25	16:00:00	1.08790	1.08790	1.08239	1.08377	93472	0	0
2024.01.25	20:00:00	1.08379	1.08475	1.08213	1.08455	35021	0	1
2024.01.26	00:00:00	1.08455	1.08477	1.08356	1.08443	11283	0	0
2024.01.26	04:00:00	1.08443	1.08489	1.08379	1.08426	10771	0	0
2024.01.26	08:00:00	1.08426	1.08505	1.08128	1.08442	37165	0	0
2024.01.26	12:00:00	1.08442	1.08857	1.08441	1.08720	48671	0	0
2024.01.26	16:00:00	1.08721	1.08804	1.08549	1.08636	55427	0	0
2024.01.26	20:00:00	1.08636	1.08660	1.08512	1.08533	20941	0	0
2024.01.29	00:00:00	1.08440	1.08494	1.08387	1.08439	16320	0	3
2024.01.29	04:00:00	1.08439	1.08477	1.08390	1.08398	11187	0	0
2024.01.29	08:00:00	1.08399	1.08502	1.08230	1.08252	28850	0	0
2024.01.29	12:00:00	1.08252	1.08369	1.08136	1.08204	38255	0	0
2024.01.29	16:00:00	1.08204	1.08227	1.07957	1.08115	45276	0	0
2024.01.29	20:00:00	1.08114	1.08404	1.08091	1.08321	28852	0	1
2024.01.30	00:00:00	1.08314	1.08424	1.08242	1.08349	14132	0	1
2024.01.30	04:00:00	1.08348	1.08362	1.08214	1.08223	12667	0	0
2024.01.30	08:00:00	1.08224	1.08323	1.08116	1.08269	33534	0	0
2024.01.30	12:00:00	1.08270	1.08500	1.08231	1.08346	37139	0	0
2024.01.30	16:00:00	1.08349	1.08575	1.08278	1.08389	72163	0	0
2024.01.30	20:00:00	1.08389	1.08486	1.08313	1.08451	23917	0	1
2024.01.31	00:00:00	1.08451	1.08481	1.08310	1.08314	13163	0	0
